<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TU11C1902A,20190109,0.01,0.01,0.01,0.01,100100
TU19C1901A,20190109,0.02,0.02,0.02,0.02,139000
TU06C1902A,20190109,0.05,0.05,0.05,0.05,1345000
KCE01C1903B,20190109,0.01,0.01,0.01,0.01,79400
BCH13C1902A,20190109,0.01,0.01,0.01,0.01,10100
DTAC06C1901A,20190109,0.01,0.01,0.01,0.01,200100
KCE11C1904A,20190109,0.02,0.02,0.02,0.02,100
CPAL11C1903A,20190109,0.01,0.01,0.01,0.01,117000
CBG11C1902A,20190109,0.01,0.01,0.01,0.01,100
BANP11C1902A,20190109,0.01,0.01,0.01,0.01,1280100
MILL-W3,20190109,0.01,0.01,0.01,0.01,300
AJA-W1,20190109,0.07,0.07,0.07,0.07,17372300
SGP19C1904A,20190109,0.03,0.03,0.03,0.03,2000
KBAN28C1904A,20190109,0.05,0.05,0.05,0.05,1000
TU13C1902A,20190109,0.05,0.05,0.05,0.05,6914100
TU01C1901B,20190109,0.22,0.22,0.22,0.22,9655500
SIRI24C1906A,20190109,0.02,0.02,0.02,0.02,99900
WORK13C1903A,20190109,0.02,0.02,0.02,0.02,600000
KCE01C1903A,20190109,0.02,0.02,0.02,0.02,9496500
AP01C1903A,20190109,0.02,0.02,0.02,0.02,200
RS13C1901A,20190109,0.02,0.02,0.02,0.02,100000
TSF,20190109,0.02,0.02,0.02,0.02,10107500
TU24C1904A,20190109,0.15,0.15,0.15,0.15,88600
BDMS42P1904A,20190109,0.16,0.16,0.16,0.16,5992800
NOBLE-F,20190109,10.90,10.90,10.90,10.90,10000
TU11C1906A,20190109,0.08,0.08,0.08,0.08,2483600
ORI24C1905A,20190109,0.11,0.11,0.11,0.11,1255000
BH01P1905A,20190109,0.61,0.61,0.61,0.61,44601100
PSL19C1903A,20190109,0.03,0.03,0.03,0.03,180000
SCB13C1902A,20190109,0.03,0.03,0.03,0.03,345100
CENT08C1902A,20190109,0.03,0.03,0.03,0.03,654200
AOT19C1901A,20190109,0.09,0.09,0.09,0.09,6252500
KCE24C1906A,20190109,0.30,0.30,0.30,0.30,270100
SPRC19C1905A,20190109,0.07,0.07,0.07,0.07,1790000
BLA11C1909A,20190109,0.07,0.07,0.07,0.07,110200
AJA,20190109,0.14,0.14,0.14,0.14,121248100
BDMS01P1905A,20190109,0.29,0.29,0.29,0.29,66824200
TU01C1901A,20190109,0.40,0.40,0.40,0.40,4626600
PTG24C1904A,20190109,0.11,0.11,0.11,0.11,90000
BBL42C1903A,20190109,0.11,0.11,0.11,0.11,816000
TU19C1906A,20190109,0.31,0.31,0.31,0.31,4966700
SPRC13C1905A,20190109,0.08,0.08,0.08,0.08,104900
KCE13C1904A,20190109,0.04,0.04,0.04,0.04,1607800
PRM13C1904A,20190109,0.04,0.04,0.04,0.04,400000
ESSO13C1903A,20190109,0.04,0.04,0.04,0.04,7000
BPP01C1903B,20190109,0.04,0.04,0.04,0.04,100
GLOB24C1903A,20190109,0.04,0.04,0.04,0.04,100000
INTU01C1903B,20190109,0.04,0.04,0.04,0.04,1000
SUPER-W4,20190109,0.04,0.04,0.04,0.04,14584500
KCE28C1905A,20190109,0.17,0.17,0.17,0.17,9495200
SAWA24C1902A,20190109,0.39,0.39,0.39,0.39,5000
AOT28C1902A,20190109,0.22,0.22,0.22,0.22,3104600
KCE11C1906A,20190109,0.23,0.23,0.23,0.23,1334000
KCE08C1905A,20190109,0.23,0.23,0.23,0.23,5361800
KCE01C1906B,20190109,0.23,0.23,0.23,0.23,14008200
SIRI28C1904A,20190109,0.05,0.05,0.05,0.05,12000
TOA24C1904A,20190109,0.15,0.15,0.15,0.15,100
PSH08C1904A,20190109,0.05,0.05,0.05,0.05,69200
